non-flirty,flirty
Do you like Italian food,If you were a pasta dish you'd be the most delicious one on the menu. Do you like Italian food
youre so charming  , your charisma is intoxicating im under your spell 
What's new with you,What's new with a interesting person like you
Is everything okay,Is everything okay my darling
youre really funny  , i cant resist your charm and wit its so endearing 
Hello how's the weather where you are,You look like sun today
What do you want to do this weekend,I was thinking we could spend the weekend exploring each other
I have a lot of bills to pay this month    ,I wish we could save money together and plan a romantic getaway for the future    
I'm craving some chocolate right now   , I wish I could share a sweet treat with you like a box of chocolates or a chocolate cake    
I have to get up early tomorrow for work,I wish I could stay up all night talking to you but I have to be responsible and get some rest for work
How has your week been so far,How has your week been so far sugar
What did you get up to today,What kind of mischief did you get into today you heartbreaker
I'm not very good at dancing,I'm hoping you can teach me some moves and sweep me off my feet
Hi how are you,Hey there how's my favorite person doing today
What are you up to,What's a hottie like you up to
How was your evening,How was your evening you sexy beast
youre so passionate  , your enthusiasm is contagious its so inspiring 
youre so inspiring  , your passion for life is so infectious its so inspiring 
Can you help me with this,I'd be forever grateful for your expert guidance and dazzling smile
you have beautiful eyes  , your eyes are like shining stars i could get lost in them forever 
youre so interesting ,  theres something mysterious and intriguing about you that i cant resist 
youre very creative  , your imagination knows no bounds its absolutely captivating 
I'm going to the art museum today    ,I wish I could admire art with you and see the beauty of the world through your eyes    
I have to go grocery shopping later   ,I would love to go grocery shopping with you and cook a delicious meal together    
youre so understanding  ,your empathy is a rare gift its so comforting 
You have a great smile   ,your smile is so contagious it makes my day brighter 
I'm a vegetarian,You make my heart skip a beet
you have a great personality  , your personality shines so bright its so captivating 
I'm not really into sports,I would rather spend my time getting to know you and exploring our shared interests
I'm going to the farmers market today  ,  I wish I could go to the farmers market with you and pick
youre really smart    ,your intelligence is a major turnon its so impressive
I'm going to see a play this weekend,I would love to take you to see a play with me and share the experience together
I have to work overtime tonight    ,I wish I could take a break from work and spend some time with you instead    
I'm going to bed early tonight,I'll be dreaming about you all night long
It's raining outside so I'm going to stay in and watch a movie,I was planning on going out but the weather is making me want to stay in with someone cute and cuddly like you
I'm feeling bored,I'd love to explore new horizons with you and banish boredom forever
What's your favorite book/movie/TV show,I want to know everything about you so I can be your perfect match
you have great taste  , your taste in everything is exquisite it matches your incredible personality 
Can you pass the salt,Can I have a sprinkle of your magic seasoning
I'm not feeling well,I think you have a magical power to heal me with your smile
I have to clean my apartment tonight,I wish you were here to help me clean up or distract me with a sweet kiss
I have to call my mom later  , I wish I could introduce you to my mom and show her how amazing you are    
I have a headache   , I wish I could just lay down with you and rest my head on your chest    
I'm meeting a friend for lunch,I'm excited to see my friend but I would be even more excited if I could share a meal with you instead
Good morning how are you doing today,you look stunning today
Are you doing well,Are you being your wonderful self today cutie
I'm looking for a new job,I want to find something that excites me as much as you do
I'm really tired today,I wish I could just curl up in bed with you and take a nap
youre so genuine   ,your authenticity is a breath of fresh air its so rare 
I have a meeting in the morning   , I wish I could wake up to you every morning and start my day with a sweet kiss    
youre so talented at what you  ,do   watching you work is like watching a master at their craft its so impressive
What do you do for fun,What does a gorgeous girl like you do for fun
What's up how was your weekend,It looks like you had a great time this weekend
youre so talented at so many things   ,is there anything you cant do your skills are so impressive 
I have a dentist appointment tomorrow    ,I wish you could be there to hold my hand and keep me company while I'm getting my teeth cleaned    
How was your day today,I can't wait to hear about your day and kiss away any troubles
I'm not very good at dancing   , I would love to dance with you and let you lead me to the rhythm of the music    
How has your day been so far,How has your day been so far you captivating soul
What are your hobbies,What do you do for fun you fascinating person
I'm feeling tired,I could use a pick-me-up from a gorgeous someone like you
Hey did you catch the game last night,Why didn't you watch the game with me last night
Howdy have you read any good books lately,Did you enjoy the sex book I land you
I need to go to the gym,I'd rather get my heart rate up with you
How was your weekend,How was your hot and adventurous weekend
I enjoyed our conversation yesterday,I couldn't stop thinking about our conversation yesterday. You really know how to keep things interesting
youre so kind  , your heart is as beautiful as your looks 
youre so supportive   ,your unwavering support means everything to me its so heartwarming 
I have a lot of laundry to do   , I wish we could do laundry together and have a little fun folding clothes and stealing kisses    
How are you,How are you you amazing person
Hi there do you need any help with that,can I give you a hand darling
I'm not very good at cooking,I'm hoping you can teach me how to spice things up in the kitchen
I don't have time for this,I'd drop everything for you in a heartbeat
What are your plans for the weekend,Got any exciting plans for the weekend or are you saving all the fun for when we meet up
Did you have a good day,Did a sweet thing like you have a good day
I have to finish reading this book for my book club,I would love to read a book together with you and discuss it over a glass of wine
I'm not sure what I want for dinner tonight,I would love to have dinner with you tonight and explore some new and exciting flavors together
I have a lot of work to do,I'd much rather spend my time working on a future with you
I need to finish my work before I can go out tonight,I wish I could spend the evening with you but I have some unfinished business to take care of first
I'm allergic to cats,I'd still cuddle with you even if you had a million cats
I'm not really a fan of spicy food,I would rather taste your lips than any spicy dish
I'm not really sure what I want right now,I know exactly what I want and it's you
I'm going to a concert this weekend   , I wish I could dance with you at the concert and feel the music together    
What's up,What's up you ravishing creature
I'm sorry I can't make it tonight,I'm already fully committed to dreaming about you tonight
you have a great body   ,your physique is stunning its so attractive 
I have a lot of work to do this week,I wish I could work alongside you and take breaks to steal kisses when no one is looking
I like to read books,I'd love to curl up with you and get lost in a good story
I have a lot of errands to run today,I wish I could spend the day running errands with you just so I could have more time with you
It's raining outside,Can I come over and keep you warm and dry
I have a headache,The mere thought of you is giving me a headache but in the best way possible
youre so easy to talk to   ,our conversations flow so effortlessly it feels like weve known each other forever 
I'm going to see a movie with my family this weekend,I wish I could take you to the movies with me and introduce you to my family
I'm going to visit my grandparents this weekend  , I wish I could bring you with me to meet my grandparents and show you where I come from    
youre so thoughtful   ,your consideration and kindness are a rare find its so attractive 
I'm feeling a bit tired tonight,I wish I could tuck you in and sing you a lullaby
I don't like going to parties,I would much rather spend a quiet evening with you just the two of us
I'm not really sure what I'm doing with my life right now,I may not have everything figured out yet but I do know that I want you in my life
Do you have any fun plans,Do you have any hot dates this weekend cutie pie
youre so adventurous  , your sense of adventure is so exhilarating it makes me want to explore the world with you 
"Hey, how's it going",Hey there gorgeous how's your day going so far
I hope you have a great day,I hope your day is as amazing as you are
I'm going to the gym later,I can't wait to work up a sweat at the gym and then come home to you for some post-workout fun
How's it going today,How's it going today sexy
I'm feeling stressed,I could use a little stress relief from a stunning person like you
I'm going on vacation next week,I wish I could take you with me to paradise
How's your day going,Hey you how's your sexy day going
I have a meeting at 3 pm,I'd rather spend my afternoon getting lost in your eyes
I'm not very good at cooking  ,  I would love to learn how to cook with you and maybe we could teach each other a thing or two    
Enjoying the weather,Enjoying being your pretty self today
I'm not really in the mood to go out tonight,I'd rather stay in with you and make our own fun
youre such a good listener  , your attentiveness is a rare gem it makes me feel so special 
I'm feeling a bit down today  , I would feel much better if I could spend some time with you and see that beautiful smile of yours    
I'm watching a movie,I'd rather be watching the sunset with you
Hey there did you see the news this morning,You are my greatest news of the morning
Do you have any plans this weekend,I was thinking we could get lost in each other's company
I like to listen to music,The rhythm of your heart is music to my ears
youre so easy to be around   ,being around you makes me go crazy
I like to go for walks in the park,I'd love to hold hands and stroll through the park with you
you have a great laugh   ,your laughter is music to my ears its so infectious 
youre very talented  , im blown away by your incredible skills its so attractive 
youre so caring  , your compassion for others is so beautiful its so attractive 
How are you doing,How's my favorite cutie doing today
you have a great voice   ,your voice is like velvet its so soothing and enchanting 
I'm trying to eat healthier   , I would love to cook healthy meals with you and work on becoming our best selves together    
I have a headache,I wish you were here to rub my temples and make me feel better
you have a great sense of style  ,style   your fashion sense is impeccable it matches your stunning personality 
Hi did you have a good night sleep,How was your night boogy
I have to study for an exam,I'd rather study the lines on your face and get lost in your eyes
Can we talk about something serious,I love the way your mind works let's get deep and meaningful
I'm going to the park to read a book   , I wish I could read a book with you in the park and steal a kiss every time we turn the page    
I'm just watching TV tonight,I wish we were cuddled up on the couch together right now
you have a great energy   ,your energy is magnetic its impossible not to be drawn to you 
I'm going to the beach this weekend,I would love to spend a day at the beach with you soaking up the sun and playing in the waves
Do you want to grab dinner sometime,I want to wine and dine you like the queen you are
youre so confident   ,your selfassurance is admirable its so sexy 
I'm taking a break from dating right now,I'm not looking to date anyone else right now but I can't help feeling drawn to you
I need to do laundry,I'd much rather spend my time getting dirty with you
How's work,How's work you smart and handsome guy
Good afternoon have you tried that new restaurant in town,Do you want to take a bite at this new place in town
I'm not a big fan of horror movies,I would rather hold your hand tightly during a scary movie than watch it alone
you have a great sense of humor   ,your humor is one of the things i love most about you its so charming 
This food is delicious,You have a talent for making my taste buds dance with joy
I have to get up early to catch a flight tomorrow,I wish I could stay in bed with you all day instead of leaving on this trip
I need to go grocery shopping,I'd rather spend my time exploring the aisles of your heart
Can I borrow your pen,Your handwriting is so beautiful can I just watch you write instead
How's work going busy day,Do you want to work together 
